complaints,label
El acceso limitado a bases de datos y materiales de investigación está causando mucha frustración entre los estudiantes. Necesitamos un mejor acceso para ser capaces de tener éxito académico.,1
"Estoy teniendo problemas para encontrar los materiales del curso que necesito para mis clases, la biblioteca no los tiene y la librería siempre está agotada.",1
Es frustrante tener acceso limitado a bases de datos y materiales de investigación cuando estoy tratando de escribir un artículo o hacer un proyecto. Siento que estoy en desventaja en comparación con los estudiantes de otras escuelas.,1
Estoy realmente luchando en una de mis clases pero no puedo conseguir una cita con mi asesor académico durante semanas. Me hace sentir como si a nadie le importara mi éxito.,1
Realmente estoy luchando con la comprensión de las instrucciones para esta tarea. No están claras y no sé lo que se espera de mí.,1
El sistema de clasificación en este curso es injusto e inconsistente. Parece que el profesor está eligiendo favoritos y no dar a todos una oportunidad justa.,1
Desearía que mi profesor nos diera más retroalimentación sobre nuestras tareas. No sé lo que estoy haciendo mal y no puedo mejorar sin críticas constructivas.,1
La calidad de la enseñanza en este curso es muy pobre. El profesor no parece preocuparse por el material o los estudiantes y se muestra en las conferencias.,1
Las tarifas del curso y los costos de los libros de texto son demasiado altos. Apenas puedo pagar por todo y me está causando mucho estrés.,1
Estoy muy preocupado por la deshonestidad académica y el plagio en este curso. El profesor no parece tomarlo en serio y me está haciendo cuestionar la integridad de toda la clase.,1
Ha habido varias violaciones del código de honor en este curso y es realmente decepcionante. Pensé que este era un lugar de aprendizaje superior y respeto por la integridad académica.,1
La rúbrica de clasificación para este curso es confusa y no tiene sentido. No entiendo cómo se está calculando mi calificación y me está causando mucha ansiedad.,1
Siento que a mi profesor no le importa mi éxito en este curso. No nos dan suficiente apoyo o recursos para hacerlo bien.,1
Los libros de texto para este curso están obsoletos y no proporcionan suficiente información. Siento que no estoy recibiendo la educación que pagué.,1
Estoy realmente frustrado por la falta de transparencia en este curso. El profesor no se comunica con nosotros claramente y está causando mucha confusión.,1
Los asistentes de enseñanza para este curso no son de ninguna ayuda. No conocen el material y no pueden responder a ninguna de mis preguntas.,1
"La escala de clasificación para este curso es demasiado dura, es casi imposible obtener una A y me está desanimando de hacer lo mejor que puedo.",1
Estoy decepcionado con la calidad de la educación que estoy recibiendo en este curso. Esperaba más de una universidad.,1
El profesor de este curso está desorganizado y no parece tener un plan. No estoy aprendiendo nada y es frustrante.,1
El costo de asistir a esta universidad es escandaloso.,1
El libro de texto para este curso no es útil en absoluto. Está mal escrito y no explica nada claramente.,1
Estoy muy preocupado por la falta de diversidad en este curso. No estamos recibiendo una educación completa.,1
El profesor de este curso es parcial y está afectando a mi grado.,1
La carga de trabajo para este curso es abrumadora. No tengo tiempo suficiente para completar todo y está afectando a mis otras clases.,1
Me gustaría que hubiera más oportunidades de crédito extra en este curso. Ayudaría a mi calificación y me animaría a aprender más.,1
El profesor de este curso no es accesible. Tengo miedo de pedirles ayuda y está obstaculizando mi éxito.,1
Las tarifas del curso son demasiado altas para lo que estamos recibiendo.,1
"El sistema de clasificación de este curso es demasiado subjetivo, es difícil saber qué quiere el profesor y está afectando a mi calificación.",1
El profesor de este curso está desinteresado y se muestra en sus conferencias. No estoy aprendiendo nada y es frustrante.,1
El libro de texto para este curso está lleno de errores y errores. Es difícil aprender de algo que no es exacto.,1
Me preocupa la falta de rigor académico en este curso.,1
El acceso limitado a la tecnología y el software está obstaculizando mi capacidad de hacer mi trabajo de curso. No puedo permitirme comprar programas caros por mi cuenta.,1
"Estoy tratando de graduarme temprano, pero solo hay unos pocos cursos disponibles que necesito tomar. Es frustrante que mis opciones sean tan limitadas.",1
El sistema en línea para acceder a los materiales del curso siempre está caído o mal. Es difícil hacer el trabajo cuando ni siquiera puedo acceder a mis tareas.,1
Desearía que hubiera más oportunidades para acceder a bases de datos y materiales de investigación fuera de la biblioteca. Sería bueno tener más opciones y flexibilidad.,1
Es muy difícil encontrar los materiales del curso que necesito para mis clases porque están repartidos entre tantos recursos diferentes. Ojalá hubiera un sistema más racionalizado.,1
La falta de cursos disponibles está haciendo que sea difícil para mí cumplir todos mis requisitos de grado. Me preocupa que no sea capaz de graduarme a tiempo.,1
"Estoy teniendo problemas con un programa de software en particular para una de mis clases, pero no hay nadie disponible para ayudarme a solucionar problemas.",1
El acceso limitado a bases de datos y materiales de investigación es especialmente frustrante cuando intento escribir una tesis o hacer una investigación original.,1
Soy estudiante internacional y estoy teniendo problemas para acceder a algunos de los recursos en línea debido a las restricciones regionales. Es frustrante sentir que me estoy perdiendo por de donde vengo.,1
Soy estudiante de transferencia y siento que estoy en desventaja porque no tengo acceso a todos los recursos y bases de datos de los estudiantes que empezaron en esta universidad.,1
Soy un estudiante con una discapacidad y estoy teniendo problemas para acceder a la tecnología y el software que necesito para hacer mi trabajo de curso. Es frustrante sentir que mis necesidades no están siendo acomodadas.,1
Es frustrante tener un acceso limitado a los asesores académicos porque ellos son los que pueden ayudarme a planificar mi título y asegurarme de que estoy en camino de graduarme.,1
Me gustaría que hubiera más opciones para acceder a los materiales del curso en línea para que no tenga que ir físicamente a la biblioteca o librería cada vez que necesito algo.,1
Es difícil hacer proyectos grupales cuando tenemos acceso limitado a tecnología y software. Nos pone en desventaja en comparación con otros grupos.,1
Estoy teniendo problemas para acceder a bases de datos y materiales de investigación porque las horas de la biblioteca son limitadas y a menudo están cerradas cuando tengo tiempo para estudiar.,1
El acceso limitado a bases de datos y materiales de investigación hace que sea difícil mantenerse al día con los últimos avances en mi campo de estudio.,1
